*;base;akk;aakk;gen;genour;aprepin
Housings.name;Жилища;Жилищата;Жилища;на Жилищата;на нашите Жилища;в Жилища
MarketSquare.name;Пазарен площад;Пазарния площад;Пазарен площад;на Пазарния площад;на нашия Пазарен площад;в Пазарен площад
Church.name;Църква;Църквата;Църква;на Църквата;на нашата Църква;в Църква
Masjid.name;Джамия;Джамията;Джамия;на Джамията;на нашата Джамия;в Джамия
Temple.name;Храм;Храма;Храм;на Храма;на нашия Храм;в Храм
HillFort.name;Хълмисти крепости;Хълмистите крепости;Хълмисти крепости;на Хълмистите крепости;на нашите Хълмисти крепости;в Хълмисти крепости
FlaxGrowing.name;Отглеждане на лен;Отглеждането на лен;Отглеждане на лен;на Отглеждането на лен;на нашето Отглеждане на лен;в Отглеждане на лен
HerbGardening.name;Билкарство;Билкарството;Билкарство;на Билкарството;на нашето Билкарство;в Билкарство
Viticulture.name;Лозарство;Лозарството;Лозарство;на Лозарството;на нашето Лозарство;в Лозарство
SheepFarming.name;Овцевъдство;Овцевъдството;Овцевъдство;на Овцевъдството;на нашето Овцевъдство;в Овцевъдство
CattleFarming.name;Говедовъдство;Говедовъдството;Говедовъдство;на Говедовъдството;на нашето Говедовъдство;в Говедовъдство
HorseBreeding.name;Коневъдство;Коневъдството;Коневъдство;на Коневъдството;на нашето Коневъдство;в Коневъдство
Woodworking.name;Дървообработка;Дървообработката;Дървообработка;на Дървообработката;на нашата Дървообработка;в Дървообработка
AmberTrade.name;Търговия с кехлибар;Търговията с кехлибар;Търговия с кехлибар;на Търговията с кехлибар;на нашата Търговия с кехлибар;в Търговия с кехлибар
CamelsTrade.name;Търговия с камили;Търговията с камили;Търговия с камили;на Търговията с камили;на нашата Търговия с камили;в Търговия с камили
FurTrade.name;Търговия с кожи;Търговията с кожи;Търговия с кожи;на Търговията с кожи;на нашата Търговия с кожи;в Търговия с кожи
MineralsTrade.name;Търговия с минерали;Търговията с минерали;Търговия с минерали;на Търговията с минерали;на нашата Търговия с минерали;в Търговия с минерали
SaltTrade.name;Търговия със сол;Търговията със сол;Търговия със сол;на Търговията със сол;на нашата Търговия със сол;в Търговия със сол
SaltpeterTrade.name;Търговия със селитра;Търговията със селитра;Търговия със селитра;на Търговията със селитра;на нашата Търговия със селитра;в Търговия със селитра
SulfurTrade.name;Търговия със сяра;Търговията със сяра;Търговия със сяра;на Търговията със сяра;на нашата Търговия със сяра;в Търговия със сяра
Harbor.name;Пристанище;Пристанището;Пристанище;на Пристанището;на нашето Пристанище;в Пристанище
PirateHaven.name;Пиратско пристанище;Пиратското пристанище;Пиратско пристанище;на Пиратското пристанище;на нашето Пиратско пристанище;в Пиратско пристанище
Admiralty.name;Адмиралтейство;Адмиралтейството;Адмиралтейство;на Адмиралтейството;на нашето Адмиралтейство;в Адмиралтейство
Shipyard.name;Корабостроителница;Корабостроителницата;Корабостроителница;на Корабостроителницата;на нашата Корабостроителница;в Корабостроителница
TradePort.name;Търговско пристанище;Търговското пристанище;Търговско пристанище;на Търговското пристанище;на нашето Търговско пристанище;в Търговско пристанище
Barracks.name;Казарма;Казармата;Казарма;на Казармата;на нашата Казарма;в Казарма
RoyalArmory.name;Кралски арсенал;Краслския арсенал;Кралски арсенал;на Краслския арсенал;на нашия Кралски арсенал;в Кралски арсенал
LordsCastles.name;Господарски замъци;Господарските замъци;Господарски замъци;на Господарските замъци;на нашите Господарски замъци;в Господарски замъци
RoyalPalace.name;Кралски дворец;Кралския дворец;Кралски дворец;на Кралския дворец;на нашия Кралски дворец;в Кралски дворец
VillageMilitia.name;Селска милиция;Селската милиция;Селска милиция;на Селската милиция;на нашата Селска милиция;в Селска милиция
RiverTrade.name;Речна търговия;Речната търговия;Речна търговия;на Речната търговия;на нашата Речна търговия;в Речна търговия
Artisans.name;Занаятчии;Занаятчиите;Занаятчии;на Занаятчиите;на нашите Занаятчии;в Занаятчии
MerchantsGuild.name;Търговска гилдия;Търговската гилдия;Търговска гилдия;на Търговската гилдия;на нашата Търговска гилдия;в Търговска гилдия
Cathedral.name;Катедрала;Катедралата;Катедрала;на Катедралата;на нашата Катедрала;в Катедрала
GreatMosque.name;Голяма джамия;Голямата джамия;Голяма джамия;на Голямата джамия;на нашата Голяма джамия;в Голяма джамия
University.name;Университет;Университета;Университет;на Университета;на нашия Университет;в Университет
Madrasah.name;Медресе;Медресето;Медресе;на Медресето;на нашето Медресе;в Медресе
CropFarming.name;Зърнопроизводство;Зърнопроизводството;Зърнопроизводство;на Зърнопроизводството;на нашето Зърнопроизводство;в Зърнопроизводство
Irrigation.name;Напояване;Напояването;Напояване;на Напояването;на нашето Напояване;в Напояване
Windmill.name;Вятърна мелница;Вятърната мелница;Вятърна мелница;на Вятърната мелница;на нашата Вятърна мелница;в Вятърна мелница
FoodMarket.name;Хранителен пазар;Хранителния пазар;Хранителен пазар;на Хранителния пазар;на нашия Хранителен пазар;в Хранителен пазар
Stoneworking.name;Каменоделство;Каменоделството;Каменоделство;на Каменоделството;на нашето Каменоделство;в Каменоделство
LimeTrade.name;Търговия с варовик;Търговията с варовик;Търговия с варовик;на Търговията с варовик;на нашата Търговия с варовик;в Търговия с варовик
Metalworking.name;Металодобив;Металодобива;Металодобив;на Металодобива;на нашия Металодобив;в Металодобив
SilverSmelting.name;Леярна за сребро;Леярната за сребро;Леярна за сребро;на Леярната за сребро;на нашата Леярна за сребро;в Леярна за сребро
GoldSmelting.name;Леярна за злато;Леярната за злато;Леярна за злато;на Леярната за злато;на нашата Леярна за злато;в Леярна за злато
LodestoneTrade.name;Търговия с магнит;Търговията с магнит;Търговия с магнит;на Търговията с магнит;на нашата Търговия с магнит;в Търговия с магнит
Warehouse.name;Склад;Склада;Склад;на Склада;на нашия Склад;в Склад
Docks.name;Докове;Доковете;Докове;на Доковете;на нашите Докове;в Докове
Butcher.name;Месарница;Месарницата;Месарница;на Месарницата;на нашата Месарница;в Месарница
Tannery.name;Кожарници;Кожарниците;Кожарници;на Кожарниците;на нашите Кожарници;в Кожарници
MinersShacks.name;Шахтьорски колиби;Шахтьорските колиби;Шахтьорски колиби;на Шахтьорските колиби;на нашите Шахтьорски колиби;в Шахтьорски колиби
Machinery.name;Машини;Машините;Машини;на Машините;на нашите Машини;в Машини
Artillery.name;Артилерия;Артилерията;Артилерия;на Артилерията;на нашата Артилерия;в Артилерия
Fletcher.name;Работилница за стрели;Работилницата за стрели;Работилница за стрели;на Работилницата за стрели;на нашата Работилница за стрели;в Работилница за стрели
WatchTowers.name;Наблюдателни кули;Наблюдателните кули;Наблюдателни кули;на Наблюдателните кули;на нашите Наблюдателни кули;в Наблюдателни кули
Orphanage.name;Сиропиталища;Сиропиталищата;Сиропиталища;на Сиропиталищата;на нашите Сиропиталища;в Сиропиталища
Schools.name;Училища;Училищата;Училища;на Училищата;на нашите Училища;в Училища
InkMaker.name;Работилница за мастило;Работилницата за мастило;Работилница за мастило;на Работилницата за мастило;на нашата Работилница за мастило;в Работилница за мастило
SmallLibrary.name;Библиотеки;Библиотеките;Библиотеки;на Библиотеките;на нашите Библиотеки;в Библиотеки
Aqueduct.name;Акведукти;Акведуктите;Акведукти;на Акведуктите;на нашите Акведукти;в Акведукти
PublicBaths.name;Обществени бани;Обществените бани;Обществени бани;на Обществените бани;на нашите Обществени бани;в Обществени бани
LargeHouses.name;Големи къщи;Големите къщи;Големи къщи;на Големите къщи;на нашите Големи къщи;в Големи къщи
AuctionMarket.name;Тържища;Тържищата;Тържища;на Тържищата;на нашите Тържища;в Тържища
Apothecary.name;Аптеки;Аптеките;Аптеки;на Аптеките;на нашите Аптеки;в Аптеки
Hospital.name;Болници;Болниците;Болници;на Болниците;на нашите Болници;в Болници
ArtsSchool.name;Художествени академии;Художествените академии;Художествени академии;на Художествените академии;на нашите Художествени академии;в Художествени академии
TranslatorsChambers.name;Преводачески канцеларии;Преводаческите канцеларии;Преводачески канцеларии;на Преводаческите канцеларии;на нашите Преводачески канцеларии;в Преводачески канцеларии
Observatory.name;Обсерватории;Обсерваториите;Обсерватории;на Обсерваториите;на нашите Обсерватории;в Обсерватории
GreatLibrary.name;Велика библиотека;Великата библиотека;Велика библиотека;на Великата библиотека;на нашата Велика библиотека;в Велика библиотека
